,주요 참여 활동(중복응답)B-H,,,,,,,방문 선택시 고려요인(중복응답)I-V,,,,,,,,,,,,,,방한횟수W-Z,,,,여행 유형AA-AC,,,전반적인 만족도(매우만족의 상대적인 정도),향후 3년 내 관광목적 재방문 의향(매우 그렇다의 상대적인 정도),가장 좋았던 활동AF-AW,,,,,,,,,,,,,,,,,
기간,쇼핑,식도락_관광,자연경관_감상,고궁_역사유적_방문,박물관_전시관.방문,테마파크,업무수행,휴양휴식,유흥_오락,뷰티관광,쇼핑.1,음식_미식탐방,자연풍경감상,역사_문화유적,패션_유행_.등_.세련된_문화,K.POP_한류스타_팬미팅,경제적인_여행비용,유흥_놀이시설,숙박시설_편리한.교통,이미용_서비스,기후_뚜렷한_사계절,X1회,X2회,X3회,X4회이상,개별여행,단체여행,Air.tel.Tour.항공호텔패키지여행.,카테고리,카테고리.1,식도락_관광.1,쇼핑.2,자연경관_감상.1,업무수행.1,고궁_역사유적_방문.1,공연_민속행사_축제참가_및_관람,전통문화체험,테마파크.1,유흥_오락.1,박물관_전시관_방문,연수_교육_연구,스포츠활동,휴양_휴식,시티투어_버스_이용,뷰티관광.1,의료관광,레포츠활동,시찰.산업시설등.
201612,735,463,253,217,74,76,80,88,180,29,609,439,399,232,245,66,100,72,31,17,100,383,102,53,140,662,195,81,보통,보통,126,291,110,33,58,50,22,22,44,22,29,32,15,9,6,1,10,5
201701,1015,694,313,248,113,108,142,121,159,39,912,648,451,174,267,97,126,151,50,30,140,459,188,63,185,918,240,101,보통,낮음,213,426,108,54,72,57,23,34,29,26,33,78,21,9,8,1,9,0
201702,1031,870,290,260,73,90,147,156,213,16,928,807,506,247,315,143,105,121,30,20,100,430,189,97,230,979,229,92,낮음,낮음,312,428,98,68,72,58,25,10,44,12,32,32,18,5,3,8,6,3
201703,966,772,356,288,94,103,168,100,154,60,832,785,494,269,304,138,124,96,45,40,91,449,161,72,219,1012,139,125,낮음,보통,265,416,131,69,80,32,26,27,38,24,18,11,15,5,11,11,8,10
201704,796,591,342,259,101,96,200,91,138,43,649,582,437,256,287,80,149,110,62,22,108,328,125,73,191,909,120,82,낮음,보통,198,297,132,90,101,16,20,33,33,26,16,9,13,12,12,11,10,22
201705,708,540,279,245,73,73,141,73,166,49,610,528,353,189,250,102,123,106,56,36,65,301,116,65,173,857,100,43,보통,보통,184,267,126,60,89,37,20,32,43,10,16,6,9,7,14,7,15,2
201706,685,558,269,257,84,84,135,81,180,34,620,555,368,222,282,104,137,105,52,31,47,278,112,70,147,871,102,51,높음,보통,191,263,117,51,104,30,28,29,49,31,22,5,20,9,6,10,9,4
201707,703,586,227,247,85,94,154,81,166,31,604,526,347,225,297,138,125,124,52,29,24,294,104,72,182,902,103,33,보통,보통,185,268,99,76,83,32,25,35,49,23,22,14,22,6,14,5,17,11
201708,822,673,263,266,83,91,205,81,192,54,679,569,334,212,268,123,146,124,61,38,58,316,114,67,200,985,94,68,높음,높음,234,309,118,70,87,40,28,37,61,19,22,6,23,6,11,14,7,2
201709,773,701,276,237,81,68,212,93,141,43,622,565,438,220,291,129,111,83,43,37,91,310,117,61,176,988,93,40,보통,보통,229,295,107,102,96,34,20,24,44,18,33,6,30,13,7,8,8,6
201710,818,709,392,346,103,81,209,77,159,38,684,573,519,269,361,115,143,100,54,33,181,352,115,61,211,1046,128,46,높음,보통,250,291,164,79,149,39,21,31,48,13,7,9,16,7,6,10,17,6
201711,835,696,282,292,70,83,175,80,138,49,714,554,374,231,307,154,159,79,78,31,144,325,135,74,189,988,110,48,보통,낮음,229,328,102,78,110,48,32,19,42,13,24,5,17,14,10,5,9,7
201712,875,667,288,290,87,115,100,94,176,38,712,580,413,229,302,160,122,93,85,31,213,365,136,76,212,1007,147,41,보통,높음,227,324,97,38,105,67,27,33,56,25,36,50,18,16,6,11,12,4
201801,926,719,447,331,140,155,204,145,132,77,678,662,364,97,129,103,63,77,66,40,37,310,152,94,210,760,108,60,높음,높음,316,233,66,146,44,38,23,10,18,7,26,37,12,7,8,6,2,7
201802,1067,803,620,454,216,198,163,120,137,71,751,709,410,139,115,78,76,78,53,27,49,454,185,80,213,811,203,53,보통,보통,356,221,104,89,53,24,23,17,18,20,10,75,11,10,9,7,5,1
201803,1391,1108,726,570,253,234,255,132,184,95,986,906,447,194,215,136,127,90,86,44,53,520,200,131,312,1091,147,153,높음,낮음,413,364,169,151,102,43,44,43,21,22,16,6,13,13,16,12,9,7
201804,1297,967,773,550,271,230,340,128,171,80,890,821,587,189,158,135,89,75,85,41,42,408,179,110,323,1083,154,60,보통,보통,382,300,199,197,96,27,42,21,16,27,20,6,8,14,10,14,11,3
201805,1201,905,765,572,276,226,243,159,187,82,777,745,445,224,178,130,109,79,74,52,43,434,176,94,315,968,148,85,낮음,보통,396,278,177,125,112,44,38,22,23,12,10,9,8,8,7,9,8,1
201806,1281,955,783,667,288,266,221,243,206,108,841,657,511,217,194,130,122,102,85,67,34,479,195,124,302,1006,183,92,높음,낮음,381,309,201,107,128,45,36,27,25,12,15,8,14,10,8,10,5,1
201807,1251,961,744,635,327,324,203,242,227,92,807,729,464,211,187,115,92,135,70,45,32,504,188,121,278,1015,144,94,낮음,낮음,402,279,172,99,119,53,32,34,30,41,16,5,14,15,8,9,7,0
201808,1375,1082,791,651,326,346,239,254,245,115,968,913,467,230,203,223,99,115,78,57,15,491,236,107,339,1081,164,131,보통,높음,464,314,136,142,123,120,28,34,25,18,15,18,6,7,7,7,9,1
201809,1272,998,769,593,278,236,243,243,193,117,847,793,488,223,208,99,65,66,76,51,32,434,185,129,339,1073,92,107,보통,보통,430,318,157,131,110,44,34,16,19,28,16,8,8,10,11,4,7,4
201810,1500,1152,947,735,329,227,324,268,227,108,1050,951,674,234,213,146,103,88,75,46,72,527,213,128,384,1196,188,119,보통,보통,483,350,219,187,131,47,36,21,29,18,31,7,16,15,8,5,13,5
201811,1334,1052,798,636,245,255,248,206,171,105,951,842,537,239,181,121,79,74,69,54,55,455,223,132,358,1050,165,117,보통,높음,413,357,172,123,121,50,38,28,28,19,20,7,19,16,9,18,1,4
201812,1346,1045,796,625,261,329,219,244,217,120,965,807,569,238,180,114,72,82,75,58,79,444,203,124,374,1050,191,105,낮음,보통,391,339,169,117,104,59,42,38,30,19,25,32,13,14,23,9,4,4
